Id,Label
1241490299215634434,INFORMATIVE
1245916400981381130,INFORMATIVE
1241132432402849793,INFORMATIVE
1236107253666607104,INFORMATIVE
1239673817552879619,UNINFORMATIVE
1240790181860409344,UNINFORMATIVE
1249147011003187200,INFORMATIVE
1241533144802758656,INFORMATIVE
1236363091002011649,UNINFORMATIVE
1245725162957242368,UNINFORMATIVE
1240721152076546049,UNINFORMATIVE
1246739551227387905,INFORMATIVE
1242799513619664896,UNINFORMATIVE
1251122786225045504,UNINFORMATIVE
1241449715654410240,UNINFORMATIVE
1241173819693252608,UNINFORMATIVE
1245311331579899906,INFORMATIVE
1240108182409601024,INFORMATIVE
1248321628808728576,INFORMATIVE
1236128165745094663,INFORMATIVE
1244684987351404551,UNINFORMATIVE
1242951300184076288,UNINFORMATIVE
1241183452243693568,UNINFORMATIVE
1241076120742768640,UNINFORMATIVE
1244676665990696961,INFORMATIVE
1248774057018806272,INFORMATIVE
1244181629784002561,INFORMATIVE
1246972644416786440,UNINFORMATIVE
1241782755412914177,INFORMATIVE
1245114106497163270,UNINFORMATIVE
1236091525102268419,UNINFORMATIVE
1236148083504775168,INFORMATIVE
1235899315207450625,UNINFORMATIVE
1245292834057576448,UNINFORMATIVE
1245880624482664449,UNINFORMATIVE
1241182759449739265,UNINFORMATIVE
1245863053662367747,UNINFORMATIVE
1238874923965136896,UNINFORMATIVE
1249803325199040515,UNINFORMATIVE
1242812989130055680,UNINFORMATIVE
1245771047435218945,UNINFORMATIVE
1244578159976054785,UNINFORMATIVE
1236152372088442880,INFORMATIVE
1245730086457876487,UNINFORMATIVE
1236128441956630534,INFORMATIVE
1245717847415930880,UNINFORMATIVE
1241410720555765762,INFORMATIVE
1245640235871956993,INFORMATIVE
1246018084478939136,UNINFORMATIVE
1245863461646561282,UNINFORMATIVE
1244711847074213889,UNINFORMATIVE
1236113067039027200,INFORMATIVE
1242841682648936449,INFORMATIVE
1243534385598496768,INFORMATIVE
1237344256458657792,INFORMATIVE
1241636547365134336,INFORMATIVE
1236183073273688064,INFORMATIVE
1245659811108159495,UNINFORMATIVE
1250494185729335296,UNINFORMATIVE
1241313082376425472,UNINFORMATIVE
1241179161588387840,UNINFORMATIVE
1251869634279718915,INFORMATIVE
1245672947873918976,UNINFORMATIVE
1244533791399575552,INFORMATIVE
1241173784272363525,UNINFORMATIVE
1246037020641640449,UNINFORMATIVE
1241164368588328961,INFORMATIVE
1245890265447043074,INFORMATIVE
1241135058569900036,INFORMATIVE
1247111405276483585,INFORMATIVE
1241595312730497029,INFORMATIVE
1245721411676758018,UNINFORMATIVE
1236104801244438528,UNINFORMATIVE
1245874722988085248,UNINFORMATIVE
1243101268597280768,INFORMATIVE
1247736993238433792,INFORMATIVE
1245869543517376512,UNINFORMATIVE
1246422722428583936,UNINFORMATIVE
1244910753297006592,INFORMATIVE
1236484280886403073,UNINFORMATIVE
1241987899840696320,UNINFORMATIVE
1241241557245857797,UNINFORMATIVE
1241083119832268801,UNINFORMATIVE
1243163310356418568,UNINFORMATIVE
1240801912955392000,UNINFORMATIVE
1241591882465107968,UNINFORMATIVE
1242860829969715200,INFORMATIVE
1242791355644030976,INFORMATIVE
1241492383356915715,INFORMATIVE
1241677885808795651,INFORMATIVE
1236143874004877314,INFORMATIVE
1241036936560676867,UNINFORMATIVE
1249502697352581120,UNINFORMATIVE
1238285142302441472,INFORMATIVE
1245951063842148352,UNINFORMATIVE
1245893820534923265,UNINFORMATIVE
